quest number	question statement	Option A	Option B	Option C	Option D	Answer	explanation
Q46	You are in the planning stages of an Agile project where the functional manager and senior users have provided the high-level requirements and scope. You have been asked to put together a project team that will be able to deliver quickly. What will you do next?	Select project members from each city to ensure diversity of knowledge within the team.	Put together a resource management plan outlining the resources required.	Ask your PMO for current available resources and assign them to the work.	Select a small team that can work in the same area so they can solve problems as they arise.	D	Co-located small teams benefit from osmotic communication and faster problem-solving, which is critical in Agile.
Q47	You are putting together a project team to deliver an accounting system to offices around the country. The accounting system you are moving to has not been used by anyone in your organisation before. The project is quite high risk, and the delivery needs to be right the first time. What will you do next?	Select a small team that can work in the same area so they can solve problems as they arise.	Use a predictive project approach and source part of your team externally if they have skillsets in the new system.	Train existing internal staff in the new system then have them work on the project.	Perform a make-or-buy analysis on the different software options.	B	High-risk, first-time delivery benefits from a predictive approach and leveraging experienced external expertise.
Q48	You are putting together a project plan for a change that affects nearly ten thousand stakeholders in your organisation. You have identified the affected stakeholders, analysed and prioritised them, and are putting together a communication plan to ensure the right engagement is made. What will you NOT include in your plan?	Why should information be shared with stakeholders?	What is the best way to provide information?	How can they make changes to the communication plan?	When and how often is information needed?	C	Communication plans focus on what, why, when, how, and who—not on allowing stakeholders to modify the communication plan itself.
Q49	You put together a resource plan for a large amount of physical inventory to be purchased from overseas. You ordered the inventory during project execution, however global supply chains were impacted and the shipment was delayed by three months, significantly impacting your project. What should you have done differently?	Hired a resource manager to take care of the resource tasks on your project.	Planned strategically about the timing from order to delivery to usage, managing resource risks and their responses.	Ensured a means to track the inventory from arrival on site to the delivery of an integrated product.	Sourced the inventory locally to reduce the impact of global supply chains.	B	Proper planning includes timing, logistics, and risk management for physical resources (e.g., delays, supply chain risks).
Q50	You are halfway through your agile project when there is a significant change to the project scope, after it was found that the project would not be able to deliver the benefits it had promised. You check your project budget and there are contingency and management reserves available. What will you do next?	Take the project scope change to the change control board for approval.	Use the available contingency reserves to make the appropriate change to project scope.	Review the change management plan for the change control process.	Reprioritise the product backlog, including the new scope and begin work on the highest priority straight away.	D	In Agile, scope changes are handled by reprioritising the backlog rather than formal change control processes used in predictive approaches.
Q51	You have recently taken over on a project that is behind schedule, and slightly over budget. You raise an issue at the steering committee meeting, where they advise that there is no additional funding available and the project must finish on time. You believe you can optimise the project process to try and bring the project back on track. What will you do next?	Add additional people and resources to the project to speed it up.	Utilise the project’s contingency reserve to source the resources you need.	Perform project activities in parallel, completing multiple items at once instead of one at a time.	Use Lean production methods to reduce non-value add activities, and retrospectives for the team to suggest improvements.	D	Ways of optimising the project processes for the environment include Lean production methods, retrospectives or lessons learned, and finding where the next best funding is spent. Adding people and resources may not always improve things – it can also increase the complexity and communication channels. (PMBOK Guide) – Seventh Edition, 2021, p71, “Project Processes”
Q52	Your Project Management Office (PMO) is optimising all the projects within their portfolio. They ask for your advice in tracking the type of work each team member is doing and how long it takes, suggesting that they categorise and record their work in addition to the work itself. What will you do next?	Ask your team to record and categorise their work, as gathering project data is important.	Recommend an automated reporting tool where possible, as categorising their work is NVA.	Recommend an automated reporting tool where possible, as recording their work is VA.	Ask your team to ignore the request and focus on delivering customer value only.	B	The time taken to track or record time can be viewed as “non-value added” work, that does not directly benefit the output of the receiving customer. We should respect the PMO request, but in addition to being efficient, processes should be effective. (PMBOK Guide) – Seventh Edition, 2021, p72, “Project Processes”
Q53	You are working on an agile project as a scrum master, where the functional manager has worked with some people in your development team before. She approaches them directly to see if they can add a feature to the product in the current sprint. What will you do next?	Adjust the sprint backlog to allow for the additional feature.	Adjust the product backlog to add the customer requirement.	Ask the manager to speak with the Product Owner for product priorities, then protect the team from direct requests in the future.	Ask the manager to create a change request so it can go through the proper process.	C	Project Managers have a responsibility for assessing and balancing project team focus and attention. This may involve protecting the team’s production capability – their team health and satisfaction. In Agile, this also means being a diversion shield for the team and removing blockers that get in the way of them making progress in their work. (PMBOK Guide) – Seventh Edition, 2021, p73, “Maintaining Project Team Focus”
Q54	Part of your project management plan is a detailed communications plan, which has the stakeholders on the project, their communication needs, and how information will be communicated. While this is being signed off by the project sponsor, you receive many ad-hoc requests for information from new stakeholders. What will you do next?	Review the communications management plan to include the stakeholders, the information they need and their communication preferences.	Create an information radiator and ask the stakeholders to pull the information they need.	Ignore the new requests, as you have captured all the stakeholders you need to in your plan.	Ask the new stakeholders to review your communications management plan to see how you are distributing information.	A	Once collected, information is distributed as indicated in the project management communications plan. An abundance of ad-hoc communication requests may indicate that the communication planning was not sufficient to meet stakeholder needs – it is a good idea to review it. (PMBOK Guide) – Seventh Edition, 2021, p72, “Project Communications and Engagement”
Q55	You are working on a high-value construction project to include smart-home components within multi-million-dollar buildings. After completing a make-or-buy analysis, you find that it will cost $700,000 to make the new system, or $500,000 to buy it from a vendor. You prepare a procurement management plan to purchase it. What will you do before conducting a procurement?	Work with your project team to complete as much of the system in-house as possible.	Work with contracting professionals to develop RFP, SOW and terms and conditions.	Adjust your stakeholder register to include the new vendor, and add the scope to your work breakdown dictionary.	Work with your project team to develop an RMP, SMP, and list of resources.	B	Prior to conducting a procurement, the project manager and technically qualified project team members work with contracting professionals to develop the Request for Proposals (RFP), Statement of Work (SOW), terms and conditions, and other necessary documents to go out to bid. (PMBOK Guide) – Seventh Edition, 2021, p74, “Working with Procurements”
Q56	A missing item has been uncovered in the project scope that your project team cannot deliver. The item is not complex and seems to be fairly readily available from various sources. You are ready to move to source selection and choose a vendor that will meet their needs. What will you do before sending out bid documents to vendors?	Prepare a Request for Proposal for vendors to provide a solution to your needs.	Prepare a Request for Quote to determine the best price from the vendors.	Prepare a Request for Information to gather more information and viable sources from the market.	Review the procurement management plan for your project’s procurement process.	C	A Request for Information is used to gather more information from the market prior to sending out bid documents to a set of selected vendors. A Request for Proposal is used where scope is complex or the buyer is looking for the vendor to provide a solution. Request for Quote is when price is the deciding factor. (PMBOK Guide) – Seventh Edition, 2021, p75, “The Bid Process”
Q57	You are working on a project where part of the work is planned carefully upfront, and another part is subject to change. You negotiate terms and conditions, including cost, delivery and payment dates. The vendor is concerned about confusion that might occur between the pre-planned and changeable work. What will you do next?	Use a Firm Fixed Price contract, to ensure cost is fixed but scope can remain flexible.	Use a time and materials contract, to ensure only the time and materials used are paid for.	Adjust your project plan to suit either a predictive or adaptive approach to reduce the confusion.	Use a master agreement for the overall contract, with adaptive work placed in an appendix.	D	For projects that use an adaptive approach for some deliverables and a predictive approach for others, a master agreement is used and the adaptive work may be placed in an appendix or supplement. This allows the changes to occur on the adaptive scope without impacting the overall contract. (PMBOK Guide) – Seventh Edition, 2021, p76, “The Bid Process: Contracting”
Q58	You are working on an agile project where there are vastly differing levels of product knowledge within your team. The scrum master suggests that you try to gain knowledge by osmosis, because the project information may be lost when only communicating by email. What will you do next?	Co-locate the team to capture the benefit of each person’s tacit knowledge.	Refer to the organisational process assets to capture the team’s explicit knowledge.	Refer to the project’s knowledge management system to capture the project’s explicit knowledge.	Create a process to capture the team’s tacit knowledge.	A	Learning by osmosis is capturing information from the immediate surroundings, such as co-locating the team. Tacit knowledge is information that is not straightforward, such as experience, insights, and practical knowledge or skill. Explicit knowledge can be readily codified using words, a process, pictures. (PMBOK Guide) – Seventh Edition, 2021, p77, “Explicit and tacit knowledge”
Q59	You are working as a Product Owner, and have placed high-level information about the product in the product backlog, and the highest priority feature at the top. Senior users informing the project are unable to clearly articulate their requirements, and are concerned that the product will not truly meet their needs. What will you do next?	Proceed with the highest priority item during the first sprint.	Work with the customer to create mock-ups and prototypes to discover what works for them.	Ask your stakeholders to submit a change request and update the project scope accordingly.	Begin breaking the work down into user stories to place in the sprint.	B	On projects that do not have clearly defined requirements prototypes, demonstrations, storyboards and mock-ups can be used to evolve the requirements. In these situations, stakeholders are more likely to take an “I’ll know it when I see it” approach. (PMBOK Guide) – Seventh Edition, 2021, p83, “Evolving and discovering requirements.”
Q60	You are gathering requirements for a new feature in a customer management system. The product owner has given a user interface feature as the next highest priority, and you are co-located with the team receiving the benefits. What will you do next?	Show the customer team how the new user interface will look, as they will be using it.	Communicate the requirements to developers with a coherent, logical flow of ideas.	Elicit requirements into user stories using acceptance criteria that is clear, verifiable and traceable.	Show the mock-up or prototype to the developers and ask them to develop based on that.	C	Elicitation means to draw out. Well-documented requirements are Clear, Concise, Verifiable, Consistent, Complete and Traceable. A prototype useful but may need more information for developers to turn into a product. Clear purpose, coherent ideas, controlling flow, concise expression and correct grammar are part of the Five C’s of communication. (PMBOK Guide) – Seventh Edition, 2021, p83, “Requirements Elicitation”
Q61	You are working in an agile team who are trying to break down the project requirements and scope. They have created a scope statement and work breakdown structure, but are not sure how it will work now that they are using sprints and user stories. What will you do next?	Assign activities to each of the scope items in the WBS, and place them on a Gantt Chart.	Create a product roadmap with the team, using the lowest, most detailed part of the WBS.	Group the work by large themes of customer value, shown as Epics, then break them down into smaller user stories to complete in each sprint.	Ask the team to trace the requirements properly using a Requirements traceability Matrix.	C	One way to identify scope is identifying the themes of customer value, associated by a common factor such as functionality, data source or security level. These are shown as Epics, which are too big to complete in a sprint, and have smaller user stories within them. (PMBOK Guide) – Seventh Edition, 2021, p84, “Scope decomposition.”
Q62	Your project team are trialling an agile way of work. The Product Owner has a clear vision for the product. There is confusion in the team as to how much work should be done on a user story before it is taken to the sprint review, and how they will know a story is complete. What will you do next?	Refer to the user story acceptance criteria and your team’s Definition of Done.	Review the user story with multiple customers and senior users to ensure it is correct.	Ask the product owner to sign off on the completed user story.	Ensure quality testing on the user story is completed and passed.	A	Different ways to describe component completion include acceptance or completion criteria, technical performance measures, and Definition of Done. Quality testing will be done to the acceptance criteria, as will Product Owner sign-off. (PMBOK Guide) – Seventh Edition, 2021, p85, “Completion of deliverables”
Q63	You have been working closely with the quality manager of your project, planning the budget for the project phase that is due to begin in the next two months. They mention the need to budget for appraisal costs, to avoid quality issues in the future. What will you do next?	Ensure there is enough for training the staff to reduce the number of errors.	Ensure there is enough for a quality tester to verify the deliverables against agreed specifications.	Ensure there is enough to create a quality assurance plan.	Ensure there is enough to allow for rework or rectification when defects are found.	B	This question is on the Cost of Quality. Prevention costs are training or quality planning. Appraisal costs are verification or audits. Internal failure is waste, defects, rework. External failure is customer complaints, repairs and servicing, warranty claims. (PMBOK Guide) – Seventh Edition, 2021, p89, “Cost of Quality”
Q64	Your agile project has recently had multiple quality issues. Project features have been prioritised by the Product Owner, and broken down into user stories. What will you do to help reduce the cost of quality issues the most?	Quality test each user story according to its acceptance criteria before release.	Advise the team that any quality defects will come out of their bonus.	Perform testing all in one go at the end, to reduce the cost of testing resources.	Ensure a “triad” of developer, tester and customer is involved during requirements and design.	D	This question is about the Cost of Change. The cost is least during requirements and design, is 20x during build, 50x during test, and 150x if a defect has to be rectified in production. If the requirements, design, and acceptance criteria is incorrect, extra quality testing will not help. (PMBOK Guide) – Seventh Edition, 2021, p90, “Cost of Change”
Q65	You are working in an agile team where executives in the team you are delivering to are asking for a large display of reports to be created every two weeks, showing how the project is tracking and updating them on the cost and benefits. What will you do next?	Collect the planned value versus earned value to show the executives any variance in the plan.	Co-locate the team with the executives so they can answer any questions as they arise.	Suggest a demonstration of the feature developed during each sprint instead, and a burndown chart of future product features.	Create the desired reports for the executives to keep them happy.	C	The value of measurements is not in the collection and dissemination of the data, but is in how to use the data to take appropriate action. Agile projects demonstrate usable value and features delivered and use live information radiators instead of large reports to stakeholders. (PMBOK Guide) – Seventh Edition, 2021, p94, “Measurement Performance Domain”
Q66	Multiple features have been released, but they are not having the effect the product owner believes they should. Your team are using some Key Performance Indicators to track performance, and you agree to move to more Leading indicators. What could you use as examples of Leading indicators for your project?	An increase in customer usage once the feature is released, such as sales and repeat purchasing.	Stakeholders who are not engaged and lack of a risk management process.	Velocity of the work completed each sprint and cycle time of user stories.	Variance in the schedule between planned and actual time taken.	B	There are two types of Key Performance Indicators (KPIs): Leading and Lagging. Leading predict changes or trends in the project, and include Lack of a risk management process, stakeholders who are not engaged, poorly defined project success criteria. Lagging indicators include work completed or schedule variance. (PMBOK Guide) – Seventh Edition, 2021, p96, “Leading Indicators”
Q67	You are working in an agile project team that has increased in size and complexity since the project began. In reviewing the throughput of work with your team, you notice fewer and fewer user stories being completed, and the roadmap of features scheduled to go live is being pushed out. What will you do next?	Place a limit on the work in progress and work with the team to reduce the cycle time.	Increase meetings with the team so everyone can collaborate together.	Ask the team to work overtime until the number of features reduces.	Put a Pull system in place, where the team can pull work only when they are ready.	A	With more work, different tasks and increased complexity, the team are likely context-switching between too many different things. Kanban aims to limit the work in progress to avoid multi-tasking. Other things we can use are reducing queue size and batch sizes, and reviewing process efficiency. (PMBOK Guide) – Seventh Edition, 2021, p99, “What to measure: Delivery”
Q68	You are working on an agile project where the project customer wants a reliable way to measure the project performance, and you know you first need a baseline. What measures will you show to your customer as part of your agile project?	Start and finish dates.	Project team velocity.	Rate of Features completed.	Schedule and Cost variance.	C	An agile project tracks and demonstrates actual features delivered. With a stable team, cost is most often fixed. The schedule is also fixed, and the scope is variable depending on what the customer wants to prioritise in the given time. (PMBOK Guide) – Seventh Edition, 2021, p100, “Baseline performance”
Q69	The product owner has worked with a team of senior users to gather feature ideas. They now have a list of more than fifty ideas for your team to develop, which is far too many to complete in the timeframe you have. What will you do next?	Ask the new product owner to return to the senior users and ask for a shortened list.	Start work on the smallest features first, to ensure you are delivering value quickly.	Workshop the features with a wider audience to get a completely diverse view on their priority.	Ask the new product owner to prioritise the features using cost to benefit, then deliver in priority order until time or money runs out.	D	Product Owners prioritise features based on business value. Metrics that measure business value include Cost-benefit ratio, planned to actual benefits delivery, return on investment, and Net Present Value. (PMBOK Guide) – Seventh Edition, 2021, p102, “Business value.”
Q70	Your agile project team has only recently formed. The product is still unclear, and there have been disagreements and minor conflicts over the past two weeks as the team find their rhythm. You would like things to improve, but can’t quite pinpoint or address the problem. What will you do next?	Hold a workshop with your team to ask them why they are unhappy.	Have the team complete a Net Promoter Score with comments, and ask for improvement ideas at the next retrospective.	Raise the issue with their line managers, to ensure all levels are aware of and working on the issue.	Have the team pair up together for their tasks, so they can learn from each other.	B	Measuring stakeholders can be done with a Net Promoter Score or satisfaction score, especially with a comment, or a mood chart. Improvement ideas are captured during retrospectives for most agile teams. Pairing is another agile practice, but is not as relevant here. (PMBOK Guide) – Seventh Edition, 2021, p103, “Measuring: Stakeholders”
Q71	The project has faced serious impacts in getting materials, with supply chains being disrupted and a global pandemic, and is currently three weeks behind schedule. You take this information to the next project steering committee meeting, where they advise they need more information on how much the project will end up costing. What will you do next?	Use the current project budget with no deviations until it runs out.	Use the project burndown chart to see the burn-rate of accounting funds.	Use a regression analysis on the current rate of spending to see where the final cost will end up.	Use the project’s estimate at completion to show the steering committee the most likely final cost.	D	This question is talking about budget forecasts. Regression analysis may work but the best answer is the Estimate at Completion, which is BAC / (EV / AC). (PMBOK Guide) – Seventh Edition, 2021, p104, “Forecasts”
Q72	You are working on an agile project where the project sponsor and executive managers require lengthy reports about the project work each week. This takes you and the project team a considerable amount of time to do, and reduces time spent creating the actual product. What will you do next?	Reuse most of the information each week so your time spent on them is reduced.	Suggest the leaders come to the sprint review and gather what they need from the information radiator.	Ask your project sponsor to wait until a steering committee meeting for the information.	Share your working project schedule and budget with the executives instead of creating the reports.	B	Agile teams showcase actual work completed at the sprint review. Information radiators, also known as big visible charts, are visible displays that allow anyone to “pull” the information from. They are often “low tech and high touch” and contain information on work completed or remaining, risks, and things like a Kanban board and burndown chart. (PMBOK Guide) – Seventh Edition, 2021, p108, “Information Radiators”
Q73	You are working on a project that has planned as much as they can up-front. You would like them to move to a more agile way of work. Currently, the work is hidden, the team catches up only once a week in a working group, and it is hard to see what each person is working on and keep track of it. What will you do next?	Ask your team to report on their work in a written status update each day so you can keep track.	Have more working group meetings so you are always up to date on what your team is working on.	Ask the team to move their work to a central, visible task board, then have a short meeting each day to discuss progress on the cards.	Remove the team meetings altogether and trust your team to get the work done.	C	This question is talking about stand-ups and a Kanban board. “Task boards” are part of the visual controls used, where an increment of work moves from To Do to In Progress to Done. The team meets for 15 minutes each day to discuss progress and raise any impediments. (PMBOK Guide) – Seventh Edition, 2021, p109, “Visual Controls: Task boards”
Q74	You are working on a hybrid project, where the majority of the work has been planned up front. The team manages their work via a Kanban board, and report on progress and blockers each day. As the project evolves, stakeholders have added more and more scope to the product, with one executive raising an urgent feature that needs to be added. What will you do next?	Limit the number of cards in the “Ready” or “To Do” column, and ask the Product Owner to work with stakeholder requests, noting the need to swap the new item for an existing item.	Match the number of user stories to the team’s velocity, to ensure a sustainable pace.	Work with the stakeholder to raise a change request, and note the outcome in the change log.	Review the impact of the scope change with the stakeholder using the WBS dictionary.	A	As a hybrid project using Kanban and some Agile ceremonies, the most appropriate way to manage the work and scope is by using a WIP Limit on the board. The Product Owner has the final say on prioritising features and scope, so works with stakeholders to ensure they understand something may be de-prioritised by adding a new feature. (PMBOK Guide) – Seventh Edition, 2021, p110, “Kanban Board”
Q75	You are working as a product owner in an agile team, where the main measure of project success is the number of features delivered into production. Over the past six months, the team have delivered the highest number of features your organisation has ever seen, however customers are starting to complain about issues and bugs in the product. What will you do next?	Ask the team to work harder in delivering more features, to fix the product issues.	Adjust the product metrics to include customer satisfaction and quality measures.	Add a slack card of 5 points into the sprint backlog, to deal with the technical debt.	Remove customer comments and feedback until you have finished delivering all the features.	B	This question is about the Hawthorne Effect, where what we measure influences the behaviour of our team. In this case, we measured the number of features only, and the team delivered, but at the cost of quality and customer satisfaction. Adding measures for those two things will balance the team’s behaviour. (PMBOK Guide) – Seventh Edition, 2021, p112, “Measurement pitfalls: Hawthorne Effect”
Q76	You have been working on a project for the past eight months. Your project team have been approached by multiple stakeholders for reporting on various performance measures about the project and the product area. Now, a large amount of their time is spent on creating these reports for others. They have escalated this issue to you. What will you do next?	Ask the project stakeholders to stop interacting with your project team.	Spend a portion of your project budget to automate the reports for your stakeholders.	Work with the team, including the stakeholders, to only measure things that will facilitate a decision, help avoid an issue or increase project performance.	Invite your stakeholders to your sprint reviews, so they can see a working feature in practice.	C	The intent in measuring and displaying data is to learn and improve. To optimise project performance and efficiency, only measure and report information that will allow the project team to learn, facilitate a decision, improve some aspect of performance, help avoid an issue, or help prevent performance deterioration. (PMBOK Guide) – Seventh Edition, 2021, p114, “Growing and Improving”
Q77	You are working on a project where there is a significant amount of uncertainty about the requirements. There is also a legislative change coming, and no one knows what it will mean for your industry. As a project manager, how will you deal with this uncertainty?	Perform additional planning for your project to improve your view on scope management.	Hold additional retrospectives, to capture challenges and improvements from your team.	Create a risk assessment of all possible project risks, with their risk ratings and owners.	Gather information and prepare for multiple outcomes, and build team resilience through processes and training.	D	This question is about general uncertainty and risk. Uncertainty cannot be predicted precisely, and methods for responding to uncertainty include gathering information, preparing for multiple outcomes, using set-based design, and building in resilience. (PMBOK Guide) – Seventh Edition, 2021, p118, “General Uncertainty”
Q78	You are working on a project with a vendor where there is significant ambiguity involved and multiple options the team could go with. Many outcomes are possible that have varying degrees of impact to improve the situation. What will you do next?	Use experiments and prototypes, and progressive elaboration to work your way through it.	Ask your team for additional reporting around the different options so you can make an informed decision.	Add all the different options into your project scope, so all your bases are covered.	Work more closely with your senior users so they can inform you of the product requirements.	A	This question is on Ambiguity. There are two types of ambiguity: Conceptual (where it is hard to understand) and situational (where there are multiple options and outcomes). Use progressive elaboration, experiments and prototypes to work through this ambiguity. (PMBOK Guide) – Seventh Edition, 2021, p120, “Ambiguity”
Q79	You are working on a project to improve some software that has been in production for over 17 years, and has been modified extensively over that time. It also integrates with many other systems within your organisation. You cannot decide which features to deliver first. How will you deal with the complexity?	List out the possible features you can deliver and prioritise them by cost over benefit.	Simulate decoupling connecting parts to simplify the number of variables, then reframe your view by brainstorming with a diverse set of stakeholders.	Provide an incentive for your project team for whoever can solve this complex problem.	Form a business case for a third-party system to replace the existing, complex system, to transfer the risk of delivery.	B	This question is about Complexity. Methods for dealing with complexity include Systems based – decoupling and simulation; Reframing – Diversity and balanced views; Process based – Iterating, engaging stakeholders and using a fail-safe or error proofing. (PMBOK Guide) – Seventh Edition, 2021, p121, “Complexity.”
Q80	You are working on a project that requires a very particular programming skillset that is not very common. It is also the hottest job market the industry has seen in two decades, people are hard to come by and leave often. The programming language is also evolving at a quick pace. What will you do next?	Develop the product from scratch in a more common programming language.	Ask your whole team to learn the programming skillset, to cover the risk.	Use alternatives analysis to gather different options, and ensure a sufficient cost reserve to help complete your project.	Raise a risk to your project completion, with the threat of project team member skillsets.	C	This question is referring to Volatility, which is an environment that is subject to rapid and unpredictable change, including ongoing fluctuations in available skillsets or materials. Alternatives analysis and cost reserves are ways to deal with volatility. (PMBOK Guide) – Seventh Edition, 2021, p122, “Volatility”
Q81	Your project team have found a significant data vulnerability in one of the features planned in your product backlog, where customer data is exposed without password access. This feature is partially made by a third-party vendor, and the relationship is owned by a functional manager in your organisation. What will you do next?	Avoid the risk and wait for the third-party vendor to fix the vulnerability.	Transfer the risk by asking a different vendor to create a feature with no vulnerability in their design.	Escalate the threat to the manager with appropriate authority to act on the response.	Accept the risk and move on the other features so the work continues to get done.	C	With project risks and responses to threats, there are five main types: Avoid, Escalate, Transfer, Mitigate and Accept. Escalation is appropriate when the project team agrees that a threat is outside the scope of the project, or exceeds the project manager’s authority. (PMBOK Guide) – Seventh Edition, 2021, p123, “Overall Project Risk: Threats”
Q82	You brainstorm risk responses with your project team and project sponsor, and decide you cannot transfer a certain high-impact risk. You also cannot avoid the risk, and there is no one in the organisation to escalate it to. Your project sponsor agrees that you should actively accept the risk. What will you do next?	Develop a contingency plan that would be triggered if the event occurred.	Shift the ownership to a third party to manage the risk and bear the impact if it does occur.	Act to eliminate the threat or protect the project from its impact only.	Take action to reduce the probability of its occurrence, and the impact of the threat.	A	This question is describing the various risk responses to threats. Actively accepting a risk can include developing a contingency plan that would be triggered if the event occurred. Passive acceptance means doing nothing. Acting to eliminate the threat is avoiding it, escalating requires an outside manager’s authority, shifting the ownership is transferring the risk, and mitigating the risk is taking action to reduce the probability of occurrence or impact. (PMBOK Guide) – Seventh Edition, 2021, p123, “Risk: Threats”
Q83	You are working on a project to build a new customer database system for an engineering team. In working with the requirements, you realise that this system can also work with other teams within your organisation, and the effort to add those teams is quite small. What will you do next?	Work with the other teams and their managers to escalate the opportunity.	Work with those other teams and their managers to exploit the opportunity.	Work with those other teams and their managers to enhance the opportunity.	Work with the other teams and their managers to accept the opportunity.	B	When dealing with opportunities in your project there are five main responses: Exploit is acting to ensure an opportunity occurs, Escalating is when it is outside the authority of the project manager, sharing allocates ownership to a third party who is best able to capture its benefit, enhancing is increasing the probability of occurrence, and accepting merely acknowledges its existence without doing anything further. (PMBOK Guide) – Seventh Edition, 2021, p125, “Risks: Opportunities”
Q84	You are working as a product owner in an agile team, and during a recent risk review the team have uncovered various risks that will impact your project. You brainstorm risk responses with your team. The project customer would like them to be mitigated as soon as possible. What will you do next?	Ask your team to work on the risk responses and get them done as soon as possible.	Ignore the risks initially, some may dissipate over time and only the important ones will be left.	Assign the risk responses to all stakeholders around your project team to share the load.	Prioritise the risks by comparing the expected monetary value of the risk to the anticipated return on investment of upcoming deliverables.	D	Prioritising risk responses in a risk-adjusted backlog is just as important as prioritising features, to avoid negative risk impacts and technical debt. Comparing the EMV of a risk to the anticipated ROI of a deliverable allows product owners to incorporate risk responses into the planned work. (PMBOK Guide) – Seventh Edition, 2021, p15, “Checking outcomes – Stakeholder Performance”
Q85	You are planning a project where supply chains have been impacted, and the requirements are complex and intertwined with other areas of the business. Your project sponsor asks you to manage these risks before the project moves to execution. What will you do next?	Move to project execution, so you can work through risks as they happen.	Move to an agile way of work so you can deliver faster and also deal with the complexity.	Note the risks with appropriate controls, and add a contingency reserve in the project budget.	Assign a management reserve to your project budget and deal with the risks before moving to project execution.	C	Reserves are an amount of time or budget set aside to account for handling risks. Contingency reserve is for identified risks, should they occur. Management reserve is for unknown events such as unplanned, in-scope work. (PMBOK Guide) – Seventh Edition, 2021, p127, “Management and contingency reserve”
Q86	You are working on an agile project and delivering a usable feature every few weeks. The project sponsor is from a waterfall background and is concerned that there is not enough focus on risk. They would like to hold a regular risk review with a wide group of stakeholders. What will you suggest instead?	There is no need for a separate meeting as risk is everyone's responsibility in an agile team.	Use daily stand-ups to report blockers early, and fortnightly demonstrations of the product to catch any stakeholder dissatisfaction.	Use the Kanban board to see the work and how it flows from the backlog to "done".	Hold the risk meeting, but only with the immediate project team to avoid unnecessary participants.	B	In agile teams the risk review can take the form of the daily stand-up, reporting blockers that could become threats if they continue to delay progress. Frequent demonstrations of the product can also surface threats and opportunities, as can retrospectives. While quality is everyone's responsibility, and the Kanban board does visualise the work, B is the best answer. (PMBOK Guide) – Seventh Edition, 2021, p127, “Risk Review”
Q87	Your Project Management Office has no prescribed way of work, so are working with a vendor who supplies an eXtreme Programming framework at a significant cost. Your organisation is using it, but projects are still running behind schedule, over budget, and with low customer satisfaction. What will you do next?	Tailor the approach to suit the organisation, operating environment and project needs.	Use a waterfall approach instead, to ensure the proper planning is completed for every project.	Switch to Scrum instead, as it is a more popular framework and has been tested in the market.	Tighten the controls around the project environment with a more directive PMO approach.	A	Projects operate in complex environments that need to balance competing demands. Tailoring is performed to better suit the organisation, operating environment and project needs. (PMBOK Guide) – Seventh Edition, 2021, p132, “Tailoring Overview”
Q88	Your Project Management Office is in the middle of a company-wide "ways of working" transformation. They have taken a popular project framework and are tailoring it to the organisation with branded templates and processes that meet their existing governance requirements. You have been asked to help finalise the process. What will you do next?	Gather feedback from the functional business areas to ensure the process meets their needs.	Roll out the new way of working to the PMO as a pilot first, then to the rest of the organisation.	Enable a process for tailoring based on size and complexity, and implement ongoing improvement.	Form a working group comprised of executives and project professionals.	C	This question is referring to the tailoring process, which is: Select the initial development approach, tailor for the organisation, tailor for the project, and implement ongoing improvement. (PMBOK Guide) – Seventh Edition, 2021, p137, “The Tailoring Process”
Q89	You are a manager of a PMO in a large organisation, which has recently undertaken a company-wide way of working transformation. You need to select an initial development approach for your projects, which you will then tailor to suit them further. What will you do next?	Use the framework that best engages your executive team through easy-to-use graphics and presentations.	Select the most popular current framework to keep up with what other organisations are doing.	Select multiple development approaches as a baseline for your organisation.	Use a suitability filter to assess the most appropriate development approach.	D	A suitability filter tool helps project teams consider whether a project has characteristics that lend themselves toward a predictive, hybrid, or adaptive approach. Select one as a base, then enable the ability to tailor to your project or organisation's circumstances. (PMBOK Guide) – Seventh Edition, 2021, p138, “Select Initial Development Approach.”
Q90	Your organisation is starting to move to an agile way of work and they are setting up a Value Delivery Office (VDO) to complement the existing PMO. The executives in the area have begun working through what the function looks like and the roles and responsibilities that might exist. They approach you for help. What will you tell them?	The VDO is responsible for the value delivered, and owns the programs within the organisation.	The VDO focuses on coaching project teams, building adaptive skills and capabilities and mentoring sponsors and product owners to be more effective.	The VDO is responsible for agile resources such as scrum masters and product owners to be allocated effectively to project teams.	The VDO creates the organisational framework to be used on each project throughout the company.	B	A VDO serves an enabling role, rather than a management or oversight function. It focuses on coaching project teams, building adaptive skills and capabilities throughout the organisation, and mentoring sponsors and product owners. (PMBOK Guide) – Seventh Edition, 2021, p141, “Tailor for the organisation: VDO”
Q91	You have been planning a project for the last two months, gathering requirements and scope and assigning tasks to a schedule. As you get closer to the execution phase of your project you need to decide what delivery approach you will use. The requirements are likely to change, require a medium amount of compliance, but can be released in one go. What will you do next?	Set up a Predictive delivery approach with your team.	Set up an Incremental delivery approach with your team.	Set up an Agile or adaptive delivery approach with your team.	Set up an Iterative delivery approach with your team.	D	Gathering feedback and improving over time, while delivering in one release is an iterative delivery approach. Incremental releases increments of value (like features), Predictive plans everything up front once then delivers in one go, and Agile gathers feedback and releases incrementally. (PMBOK Guide) – Seventh Edition, 2021, p141, “Tailor for the project: Product / Deliverable”
